sep=	;
alfa	0,5
beta	0,5
distance constraint	0,4
normative match distance	0,4
total agents	4
characteristic 'intelligence'	0,5	
characteristic 'charisma'	0,5	

	Ace	Ben	Cara	Dan	
characteristic 'intelligence'	92	75	33	23	
characteristic 'charisma'	11	32	87	98	

matched group name	
Ace	nerd	nerd	nerd	nerd	nerd	nerd	nerd	nerd	nerd	nerd	
Ben	nerd	nerd	nerd	nerd	nerd	nerd	nerd	nerd	nerd	nerd	
Cara	Unfamiliar_Group_1	Unfamiliar_Group_2	Unfamiliar_Group_3	Unfamiliar_Group_4	Unfamiliar_Group_5	Unfamiliar_Group_6	Unfamiliar_Group_7	Unfamiliar_Group_8	Unfamiliar_Group_9	Unfamiliar_Group_10	
Dan	jock	jock	jock	jock	jock	jock	jock	jock	jock	jock	

agent-group distance	
Ace	0,09552487	0,09552487	0,09552487	0,09552487	0,09552487	0,09552487	0,09552487	0,09552487	0,09552487	0,09552487	
Ben	0,09552487	0,09552487	0,09552487	0,09552487	0,09552487	0,09552487	0,09552487	0,09552487	0,09552487	0,09552487	
Cara	0,05255949	0,05255949	0,05255949	0,05255949	0,05255949	0,05255949	0,05255949	0,05255949	0,05255949	0,05255949	
Dan	0,05255949	0,05255949	0,05255949	0,05255949	0,05255949	0,05255949	0,05255949	0,05255949	0,05255949	0,05255949	

group dispersion	
Ace	0,2388122	0,2388122	0,2388122	0,2388122	0,2388122	0,2388122	0,2388122	0,2388122	0,2388122	0,2388122	
Ben	0,2388122	0,2388122	0,2388122	0,2388122	0,2388122	0,2388122	0,2388122	0,2388122	0,2388122	0,2388122	
Cara	0,1313987	0,1313987	0,1313987	0,1313987	0,1313987	0,1313987	0,1313987	0,1313987	0,1313987	0,1313987	
Dan	0,1313987	0,1313987	0,1313987	0,1313987	0,1313987	0,1313987	0,1313987	0,1313987	0,1313987	0,1313987	

group distance	
Ace	1	1	1	1	1	1	1	1	1	1	
Ben	1	1	1	1	1	1	1	1	1	1	
